species,id,status
acalypha_neptunica,144315188,Least Concern
acalypha_ornata,146222303,Least Concern
acridocarpus_macrocalyx,,
acridocarpus_plagiopterus,154152205,Least Concern
adansonia_digitata,,
adenium_obesum,33687,Least Concern
adenium_obesum,62541,Least Concern
adenocarpus_mannii,144263925,Least Concern
adenorandia_kalbreyeri,,
aeglopsis_chevalieri,154152408,Near Threatened
aeschynomene_elaphroxylon,97043787,Least Concern
afraegle_paniculata,,
afrocarpus_mannii,32770,Vulnerable
afrolicania_elaeosperma,204677883,Least Concern
afrostyrax_kamerunensis,116858214,Least Concern
afrostyrax_lepidophyllus,32192,Least Concern
afzelia_bella,60757654,Least Concern
afzelia_bipindensis,33033,Vulnerable
afzelia_pachyloba,33034,Vulnerable
aganope_impressa,,
aganope_leucobotrya,144290743,Least Concern
aganope_stuhlmannii,147040135,Least Concern
agarista_salicifolia,68150229,Least Concern
aidia_genipiflora,136113832,Least Concern
aidia_micrantha,153945337,Least Concern
aidia_ochroleuca,143710430,Least Concern
aidia_rhacodosepala,,
aidia_rubens,,
airyantha_schweinfurthii,144315734,Least Concern
albizia_adianthifolia,19892474,Least Concern
albizia_altissima,144268534,Least Concern
albizia_coriaria,144306732,Least Concern
albizia_dinklagei,208168656,Least Concern
albizia_ferruginea,33035,Near Threatened
albizia_glaberrima,144276798,Least Concern
albizia_gummifera,60757802,Least Concern
albizia_malacophylla,35813,Vulnerable
albizia_zygia,60758247,Least Concern
alchornea_cordifolia,144311802,Least Concern
alchornea_floribunda,144268383,Least Concern
alchornea_hirtella,146448511,Least Concern
alchornea_laxiflora,146453929,Least Concern
allanblackia_floribunda,68044590,Least Concern
allanblackia_gabonensis,45460,Vulnerable
allexis_cauliflora,32204,Vulnerable
allophylus_africanus,146217756,Least Concern
allophylus_bullatus,46176,Vulnerable
allophylus_ferrugineus,153941153,Least Concern
allophylus_grandifolius,174426653,Least Concern
allophylus_hamatus,,
allophylus_hirtellus,,
allophylus_megaphyllus,,
allophylus_talbotii,,
alsodeiopsis_poggei,,
alsodeiopsis_staudtii,,
alsodeiopsis_zenkeri,,
alstonia_boonei,60760752,Least Concern
alstonia_congensis,60760828,Least Concern
amanoa_bracteosa,34644,Least Concern
amanoa_strobilacea,34645,Vulnerable
amblygonocarpus_andongensis,60761204,Least Concern
amphimas_ferrugineus,60761269,Least Concern
amphimas_pterocarpoides,60761332,Least Concern
ancistrocarpus_densispinosus,148938922,Least Concern
androsiphonia_adenostegia,136112671,Least Concern
aneulophus_africanus,204678834,Least Concern
angylocalyx_oligophyllus,144264153,Least Concern
angylocalyx_pynaertii,144248240,Least Concern
angylocalyx_talbotii,45881,Least Concern
anisophyllea_laurina,173337251,Least Concern
anisophyllea_meniaudii,204805185,Least Concern
anisophyllea_myriosticta,204805283,Least Concern
anisophyllea_polyneura,204818239,Least Concern
anisophyllea_purpurascens,170123770,Least Concern
anisophyllea_sororia,204811250,Least Concern
annea_afzelii,,
annea_laxiflora,,
annickia_affinis,132512369,Least Concern
annickia_ambigua,132512525,Least Concern
annickia_chlorantha,60762300,Least Concern
annickia_pilosa,132513395,Least Concern
annickia_polycarpa,132513477,Least Concern
annona_glabra,142424510,Least Concern
annona_senegalensis,136996621,Least Concern
anogeissus_leiocarpa,,
anonidium_mannii,61205379,Least Concern
anopyxis_klaineana,33036,Vulnerable
anthocleista_djalonensis,156093304,Least Concern
anthocleista_liebrechtsiana,204805351,Least Concern
anthocleista_nobilis,136110991,Least Concern
anthocleista_obanensis,,
anthocleista_procera,154152618,Least Concern
anthocleista_scandens,45886,Vulnerable
anthocleista_schweinfurthii,153943091,Least Concern
anthocleista_vogelii,153936170,Least Concern
anthonotha_acuminata,173467555,Least Concern
anthonotha_brieyi,173467770,Least Concern
anthonotha_cladantha,,
anthonotha_crassifolia,144277466,Least Concern
anthonotha_ferruginea,19892135,Least Concern
anthonotha_fragrans,144295945,Least Concern
anthonotha_gilletii,137522758,Least Concern
anthonotha_lamprophylla,173468077,Least Concern
anthonotha_macrophylla,144276227,Least Concern
anthonotha_pynaertii,144249874,Least Concern
anthonotha_trunciflora,173468983,Least Concern
anthostema_aubryanum,143723112,Least Concern
anthostema_senegalense,144303148,Least Concern
antiaris_toxicaria,61210500,Least Concern
antidesma_laciniatum,156093345,Least Concern
antidesma_membranaceum,153942864,Least Concern
antidesma_rufescens,,
antidesma_venosum,146217455,Least Concern
antidesma_vogelianum,,
antrocaryon_klaineanum,61210559,Least Concern
antrocaryon_micraster,33037,Vulnerable
antrocaryon_nannanii,137401941,Least Concern
aoranthe_cladantha,143722675,Least Concern
aoranthe_nalaensis,,
aphanocalyx_cynometroides,144288882,Least Concern
aphanocalyx_djumaensis,200535631,Least Concern
aphanocalyx_heitzii,,
aphanocalyx_ledermannii,,
aphanocalyx_margininervatus,144258645,Least Concern
aphanocalyx_microphyllus,144309408,Least Concern
aporrhiza_paniculata,,
aporrhiza_talbotii,,
aporrhiza_urophylla,,
aptandra_zenkeri,143724273,Least Concern
ardisia_staudtii,,
argocoffeopsis_eketensis,108695423,Least Concern
argomuellera_macrophylla,144291572,Least Concern
aubletiana_macrostachys,37496,Least Concern
aubregrinia_taiensis,32193,Critically Endangered
aucoumea_klaineana,33213,Vulnerable
aulacocalyx_caudata,170063866,Least Concern
aulacocalyx_jasminiflora,137990686,Least Concern
aulacocalyx_jasminiflora,137995403,Critically Endangered
aulacocalyx_talbotii,,
autranella_congolensis,33038,Endangered
avicennia_germinans,178811,Least Concern
baikiaea_insignis,61531890,Least Concern
baikiaea_robynsii,204799834,Least Concern
baillonella_toxisperma,33039,Vulnerable
balanites_wilsoniana,145398074,Least Concern
baphia_acuminata,,
baphia_buettneri,19891473,Least Concern
baphia_dewevrei,,
baphia_laurentii,,
baphia_laurifolia,144281173,Least Concern
baphia_leptobotrys,202750,Least Concern
baphia_leptostemma,37547,Vulnerable
baphia_leptostemma,37548,Vulnerable
